"CLient_nbr"|"Client_name"|"Site_Id"|"Site_Type"|"Address"|"City"|"State"|"Zipcode"|"Region"|"Country_cd"|"Nbr_at_location"|"People_type"
"1"|"Teradata"|"Virtual-80220"|"Employee"|"n/a"|"Denver"|"CO"|"80220"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-92835"|"Employee"|"n/a"|"Fullerton"|"CA"|"92835"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-92037"|"Employee"|"n/a"|"La Jolla"|"CA"|"92037"|"AMERICAS"|"USA"|"4"|"Office"
"1"|"Teradata"|"office-30064"|"Employee"|"n/a"|"Marietta"|"GA"|"30064"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-94561"|"Employee"|"n/a"|"Oakley"|"CA"|"94561"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-75036"|"Employee"|"n/a"|"Frisco"|"TX"|"75036"|"AMERICAS"|"USA"|"2"|"Virtual"
"1"|"Teradata"|"Virtual-41017"|"Employee"|"n/a"|"Ft Mitchell"|"KY"|"41017"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-78748"|"Employee"|"n/a"|"Austin"|"TX"|"78748"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-59833"|"Employee"|"n/a"|"Florence"|"MT"|"59833"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-30677"|"Employee"|"n/a"|"Watkinsville"|"GA"|"30677"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-73034"|"Employee"|"n/a"|"Edmond"|"OK"|"73034"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-90045"|"Employee"|"n/a"|"Los Angeles"|"CA"|"90045"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-94903"|"Employee"|"n/a"|"San Rafael"|"CA"|"94903"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-30075"|"Employee"|"n/a"|"Roswell"|"GA"|"30075"|"AMERICAS"|"USA"|"3"|"Virtual"
"1"|"Teradata"|"office-30028"|"Employee"|"n/a"|"Cumming"|"GA"|"30028"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-20110"|"Employee"|"n/a"|"Manassas"|"VA"|"20110"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-55449"|"Employee"|"n/a"|"Minneapolis"|"MN"|"55449"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-50021"|"Employee"|"n/a"|"Ankeny"|"IA"|"50021"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-30066"|"Employee"|"n/a"|"Marietta"|"GA"|"30066"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-1775"|"Employee"|"n/a"|"Stow"|"MA"|"01775"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-30044"|"Employee"|"n/a"|"Lawrenceville"|"GA"|"30044"|"AMERICAS"|"USA"|"2"|"Virtual"
"1"|"Teradata"|"Virtual-19425"|"Employee"|"n/a"|"Chester Springs"|"PA"|"19425"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-90631"|"Employee"|"n/a"|"La Habra"|"CA"|"90631"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"office-94551"|"Employee"|"n/a"|"Livermore"|"CA"|"94551"|"AMERICAS"|"USA"|"1"|"Office"
"1"|"Teradata"|"Virtual-45387"|"Employee"|"n/a"|"Yellow Springs"|"OH"|"45387"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-95662"|"Employee"|"n/a"|"Orangevale"|"CA"|"95662"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-78746"|"Employee"|"n/a"|"Austin"|"TX"|"78746"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-75013"|"Employee"|"n/a"|"Allen"|"TX"|"75013"|"AMERICAS"|"USA"|"2"|"Virtual"
"1"|"Teradata"|"Virtual-27519"|"Employee"|"n/a"|"Cary"|"NC"|"27519"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-55014"|"Employee"|"n/a"|"Circle Pines"|"MN"|"55014"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-45044"|"Employee"|"n/a"|"Middletown"|"OH"|"45044"|"AMERICAS"|"USA"|"2"|"Virtual"
"1"|"Teradata"|"Virtual-30542"|"Employee"|"n/a"|"Flowery Branch"|"GA"|"30542"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"Virtual-29229"|"Employee"|"n/a"|"Columbia"|"SC"|"29229"|"AMERICAS"|"USA"|"3"|"Virtual"
"1"|"Teradata"|"Virtual-90802"|"Employee"|"n/a"|"Long Beach"|"CA"|"90802"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-95123"|"Employee"|"n/a"|"San Jose"|"CA"|"95123"|"AMERICAS"|"USA"|"5"|"Office"
"1"|"Teradata"|"Virtual-29180"|"Employee"|"n/a"|"Winnsboro"|"SC"|"29180"|"AMERICAS"|"USA"|"1"|"Virtual"
"1"|"Teradata"|"office-92026"|"Employee"|"n/a"|"Escondido"|"CA"|"92026"|"AMERICAS"|"USA"|"19"|"Office"
"1"|"Teradata"|"Virtual-30143"|"Employee"|"n/a"|"Jasper"|"GA"|"30143"|"AMERICAS"|"USA"|"1"|"Virtual"
